,Province,Municities,Barangay,Total
18214,LA UNION,AGOO,SANTA MARIA, 20 
18215,LA UNION,AGOO,SANTA MONICA, 26 
18216,LA UNION,AGOO,SANTA RITA (NALINAC), 48 
18217,LA UNION,AGOO,SANTA RITA EAST, 31 
18218,LA UNION,AGOO,SANTA RITA NORTE, 51 
18219,LA UNION,AGOO,SANTA RITA SUR, 24 
18220,LA UNION,AGOO,SANTA RITA WEST, 15 
18221,LA UNION,ARINGAY,ALASKA, 4 
18222,LA UNION,ARINGAY,BASCA, 44 
18223,LA UNION,ARINGAY,DULAO, 70 
18224,LA UNION,ARINGAY,GALLANO, 13 
18225,LA UNION,ARINGAY,MACABATO, 19 
18226,LA UNION,ARINGAY,MANGA, 14 
18227,LA UNION,ARINGAY,PANGAO-AOAN EAST, 31 
18228,LA UNION,ARINGAY,PANGAO-AOAN WEST, 18 
18229,LA UNION,ARINGAY,POBLACION, 88 
18230,LA UNION,ARINGAY,SAMARA, 35 
18231,LA UNION,ARINGAY,SAN ANTONIO, 32 
18232,LA UNION,ARINGAY,SAN BENITO NORTE, 68 
18233,LA UNION,ARINGAY,SAN BENITO SUR, 94 
18234,LA UNION,ARINGAY,SAN EUGENIO, 117 
18235,LA UNION,ARINGAY,SAN JUAN EAST, 24 
18236,LA UNION,ARINGAY,SAN JUAN WEST, 11 
18237,LA UNION,ARINGAY,SAN SIMON EAST, 27 
18238,LA UNION,ARINGAY,SAN SIMON WEST, 33 
18239,LA UNION,ARINGAY,SANTA CECILIA, 43 
18240,LA UNION,ARINGAY,SANTA LUCIA, 59 
18241,LA UNION,ARINGAY,SANTA RITA EAST, 16 
18242,LA UNION,ARINGAY,SANTA RITA WEST, 97 
18243,LA UNION,ARINGAY,SANTO ROSARIO EAST, 32 
18244,LA UNION,ARINGAY,SANTO ROSARIO WEST, 27 
18245,LA UNION,BACNOTAN,AGTIPAL, 13 
18246,LA UNION,BACNOTAN,AROSIP, 3 
18247,LA UNION,BACNOTAN,BACQUI, 16 
18248,LA UNION,BACNOTAN,BACSIL, 19 
18249,LA UNION,BACNOTAN,BAGUTOT, 8 
18250,LA UNION,BACNOTAN,BALLOGO, 27 
18251,LA UNION,BACNOTAN,BARORO, 92 
18252,LA UNION,BACNOTAN,BITALAG, 44 
18253,LA UNION,BACNOTAN,BULALA, 47 
18254,LA UNION,BACNOTAN,BURAYOC, 13 
18255,LA UNION,BACNOTAN,BUSSAOIT, 27 
18256,LA UNION,BACNOTAN,CABAROAN, 57 
18257,LA UNION,BACNOTAN,CABARSICAN, 26 
18258,LA UNION,BACNOTAN,CABUGAO, 19 
18259,LA UNION,BACNOTAN,CALAUTIT, 13 
18260,LA UNION,BACNOTAN,CARCARMAY, 16 
18261,LA UNION,BACNOTAN,CASIAMAN, 29 
18262,LA UNION,BACNOTAN,GALONGEN, 29 
18263,LA UNION,BACNOTAN,GUINABANG, 17 
18264,LA UNION,BACNOTAN,LEGLEG, 16 
18265,LA UNION,BACNOTAN,LISQUEB, 22 
18266,LA UNION,BACNOTAN,MABANENGBENG 1ST, 8 
18267,LA UNION,BACNOTAN,MABANENGBENG 2ND, 12 
18268,LA UNION,BACNOTAN,MARAGAYAP, 8 
18269,LA UNION,BACNOTAN,NAGATIRAN, 19 
18270,LA UNION,BACNOTAN,NAGSARABOAN, 38 
18271,LA UNION,BACNOTAN,NAGSIMBAANAN, 21 
18272,LA UNION,BACNOTAN,NANGALISAN, 24 
18273,LA UNION,BACNOTAN,NARRA, 30 
18274,LA UNION,BACNOTAN,ORTEGA, 19 
18275,LA UNION,BACNOTAN,OYA-OY, 13 
18276,LA UNION,BACNOTAN,PAAGAN, 15 
18277,LA UNION,BACNOTAN,PANDAN, 29 
18278,LA UNION,BACNOTAN,PANG-PANG, 4 
18279,LA UNION,BACNOTAN,POBLACION, 120 
18280,LA UNION,BACNOTAN,QUIRINO, 58 
18281,LA UNION,BACNOTAN,RAOIS, 45 
18282,LA UNION,BACNOTAN,SALINCOB, 12 
18283,LA UNION,BACNOTAN,SAN MARTIN, 29 
18284,LA UNION,BACNOTAN,SANTA CRUZ, 41 
18285,LA UNION,BACNOTAN,SANTA RITA, 17 
18286,LA UNION,BACNOTAN,SAPILANG, 18 
18287,LA UNION,BACNOTAN,SAYOAN, 9 
18288,LA UNION,BACNOTAN,SIPULO, 30 
18289,LA UNION,BACNOTAN,TAMMOCALAO, 44 
18290,LA UNION,BACNOTAN,UBBOG, 15 
18291,LA UNION,BACNOTAN,ZARAGOSA, 27 
18292,LA UNION,BAGULIN,ALIBANGSAY, 16 
18293,LA UNION,BAGULIN,BAAY, 10 
18294,LA UNION,BAGULIN,CAMBALY, 37 
18295,LA UNION,BAGULIN,CARDIZ, 6 
18296,LA UNION,BAGULIN,DAGUP, 28 
18297,LA UNION,BAGULIN,LIBBO, 9 
18298,LA UNION,BAGULIN,SUYO (POB.), 29 
18299,LA UNION,BAGULIN,TAGUDTUD, 13 
18300,LA UNION,BAGULIN,TIO-ANGAN, 6 
18301,LA UNION,BAGULIN,WALLAYAN, 17 
18302,LA UNION,BALAOAN,ALMIEDA, 49 
18303,LA UNION,BALAOAN,ANTONINO, 30 
18304,LA UNION,BALAOAN,APATUT, 29 
18305,LA UNION,BALAOAN,AR-ARAMPANG, 31 
18306,LA UNION,BALAOAN,BARACBAC ESTE, 32 
18307,LA UNION,BALAOAN,BARACBAC OESTE, 14 
18308,LA UNION,BALAOAN,BET-ANG, 17 
18309,LA UNION,BALAOAN,BULBULALA, 41 
18310,LA UNION,BALAOAN,BUNGOL, 34 
18311,LA UNION,BALAOAN,BUTUBUT ESTE, 27 
18312,LA UNION,BALAOAN,BUTUBUT NORTE, 24 
18313,LA UNION,BALAOAN,BUTUBUT OESTE, 15 
18314,LA UNION,BALAOAN,BUTUBUT SUR, 24 
18315,LA UNION,BALAOAN,CABUAAN OESTE (POB.), 41 
18316,LA UNION,BALAOAN,CALLIAT, 28 
18317,LA UNION,BALAOAN,CALUNGBUYAN, 39 
18318,LA UNION,BALAOAN,CAMILING, 36 
18319,LA UNION,BALAOAN,DR. CAMILO OSIAS POB. (CABUAAN ESTE), 57 
18320,LA UNION,BALAOAN,GUINABURAN, 15 
18321,LA UNION,BALAOAN,MASUPE, 29 
18322,LA UNION,BALAOAN,NAGSABARAN NORTE, 57 
18323,LA UNION,BALAOAN,NAGSABARAN SUR, 32 
18324,LA UNION,BALAOAN,NALASIN, 54 
18325,LA UNION,BALAOAN,NAPASET, 15 
18326,LA UNION,BALAOAN,PAGBENNECAN, 17 
18327,LA UNION,BALAOAN,PAGLEDDEGAN, 14 
18328,LA UNION,BALAOAN,PANTAR NORTE, 43 
18329,LA UNION,BALAOAN,PANTAR SUR, 24 
18330,LA UNION,BALAOAN,PA-O, 19 
18331,LA UNION,BALAOAN,PARAOIR, 52 
18332,LA UNION,BALAOAN,PATPATA, 44 
18333,LA UNION,BALAOAN,SABLUT, 33 
18334,LA UNION,BALAOAN,SAN PABLO, 40 
18335,LA UNION,BALAOAN,SINAPANGAN NORTE, 14 
18336,LA UNION,BALAOAN,SINAPANGAN SUR, 30 
18337,LA UNION,BALAOAN,TALLIPUGO, 34 
18338,LA UNION,BANGAR,AGDEPPA, 12 
18339,LA UNION,BANGAR,ALZATE, 13 
18340,LA UNION,BANGAR,BANGAOILAN EAST, 19 
18341,LA UNION,BANGAR,BANGAOILAN WEST, 9 
18342,LA UNION,BANGAR,BARRACA, 29 
18343,LA UNION,BANGAR,CADAPLI, 18 
18344,LA UNION,BANGAR,CAGGAO, 2 
18345,LA UNION,BANGAR,CENTRAL EAST NO. 1 (POB.), 11 
18346,LA UNION,BANGAR,CENTRAL EAST NO. 2 (POB.), 17 
18347,LA UNION,BANGAR,CENTRAL WEST NO. 1 (POB.), 10 
18348,LA UNION,BANGAR,CENTRAL WEST NO. 2 (POB.), 7 
18349,LA UNION,BANGAR,CENTRAL WEST NO. 3 (POB.), 4 
18350,LA UNION,BANGAR,CONSUEGRA, 27 
18351,LA UNION,BANGAR,GENERAL PRIM EAST, 19 
18352,LA UNION,BANGAR,GENERAL PRIM WEST, 18 
18353,LA UNION,BANGAR,GENERAL TERRERO, 21 
18354,LA UNION,BANGAR,LUZONG NORTE, 21 
18355,LA UNION,BANGAR,LUZONG SUR, 13 
18356,LA UNION,BANGAR,MARIA CRISTINA EAST, 18 
18357,LA UNION,BANGAR,MARIA CRISTINA WEST, 33 
18358,LA UNION,BANGAR,MINDORO, 11 
18359,LA UNION,BANGAR,NAGSABARAN, 28 
18360,LA UNION,BANGAR,PARATONG NO. 3, 14 
18361,LA UNION,BANGAR,PARATONG NO. 4, 28 
18362,LA UNION,BANGAR,PARATONG NORTE, 19 
18363,LA UNION,BANGAR,QUINTARONG, 13 
18364,LA UNION,BANGAR,REYNA REGENTE, 14 
18365,LA UNION,BANGAR,RISSING, 53 
18366,LA UNION,BANGAR,SAN BLAS, 15 
18367,LA UNION,BANGAR,SAN CRISTOBAL, 17 
18368,LA UNION,BANGAR,SINAPANGAN NORTE, 12 
18369,LA UNION,BANGAR,SINAPANGAN SUR, 15 
18370,LA UNION,BANGAR,UBBOG, 14 
18371,LA UNION,BAUANG,ACAO, 143 
18372,LA UNION,BAUANG,BACCUIT NORTE, 72 
18373,LA UNION,BAUANG,BACCUIT SUR, 69 
18374,LA UNION,BAUANG,BAGBAG, 38 
18375,LA UNION,BAUANG,BALLAY, 44 
18376,LA UNION,BAUANG,BAWANTA, 26 
18377,LA UNION,BAUANG,BOY-UTAN, 25 
18378,LA UNION,BAUANG,BUCAYAB, 33 
18379,LA UNION,BAUANG,CABALAYANGAN, 37 
18380,LA UNION,BAUANG,CABISILAN, 16 
18381,LA UNION,BAUANG,CALUMBAYA, 82 
18382,LA UNION,BAUANG,CARMAY, 10 
18383,LA UNION,BAUANG,CASILAGAN, 29 
18384,LA UNION,BAUANG,CENTRAL EAST (POB.), 136 
18385,LA UNION,BAUANG,CENTRAL WEST (POB.), 162 
18386,LA UNION,BAUANG,DILI, 57 
18387,LA UNION,BAUANG,DISSO-OR, 25 
18388,LA UNION,BAUANG,GUERRERO, 39 
18389,LA UNION,BAUANG,LOWER SAN AGUSTIN, 23 
18390,LA UNION,BAUANG,NAGREBCAN, 50 
18391,LA UNION,BAUANG,PAGDALAGAN SUR, 101 
18392,LA UNION,BAUANG,PALINTUCANG, 20 
18393,LA UNION,BAUANG,PALUGSI-LIMMANSANGAN, 29 
18394,LA UNION,BAUANG,PARIAN ESTE, 59 
18395,LA UNION,BAUANG,PARIAN OESTE, 31 
18396,LA UNION,BAUANG,PARINGAO, 123 
18397,LA UNION,BAUANG,PAYOCPOC NORTE ESTE, 32 
18398,LA UNION,BAUANG,PAYOCPOC NORTE OESTE, 42 
18399,LA UNION,BAUANG,PAYOCPOC SUR, 82 
18400,LA UNION,BAUANG,PILAR, 9 
18401,LA UNION,BAUANG,POTTOT, 40 
18402,LA UNION,BAUANG,PUDOC, 51 
18403,LA UNION,BAUANG,PUGO, 71 
18404,LA UNION,BAUANG,QUINAVITE, 92 
18405,LA UNION,BAUANG,SANTA MONICA, 13 
18406,LA UNION,BAUANG,SANTIAGO, 80 
18407,LA UNION,BAUANG,TABERNA, 51 
18408,LA UNION,BAUANG,UPPER SAN AGUSTIN, 29 
18409,LA UNION,BAUANG,URAYONG, 46 
18410,LA UNION,BURGOS,AGPAY, 13 
18411,LA UNION,BURGOS,BILIS, 14 
18412,LA UNION,BURGOS,CAOAYAN, 23 
18413,LA UNION,BURGOS,DALACDAC, 3 
18414,LA UNION,BURGOS,DELLES, 24 
18415,LA UNION,BURGOS,IMELDA, 5 
18416,LA UNION,BURGOS,LIBTONG, 11 
18417,LA UNION,BURGOS,LINUAN, 14 
18418,LA UNION,BURGOS,LOWER TUMAPOC, 11 
18419,LA UNION,BURGOS,NEW POBLACION, 23 
18420,LA UNION,BURGOS,OLD POBLACION, 19 
18421,LA UNION,BURGOS,UPPER TUMAPOC, 18 
18422,LA UNION,CABA,BAUTISTA, 29 
18423,LA UNION,CABA,GANA, 68 
18424,LA UNION,CABA,JUAN CARTAS, 18 
18425,LA UNION,CABA,LAS-UD, 32 
18426,LA UNION,CABA,LIQUICIA, 12 
18427,LA UNION,CABA,POBLACION NORTE, 60 
18428,LA UNION,CABA,POBLACION SUR, 25 
18429,LA UNION,CABA,SAN CARLOS, 31 
18430,LA UNION,CABA,SAN CORNELIO, 21 
18431,LA UNION,CABA,SAN FERMIN, 10 
18432,LA UNION,CABA,SAN GREGORIO, 16 
18433,LA UNION,CABA,SAN JOSE, 52 
18434,LA UNION,CABA,SANTIAGO NORTE, 33 
18435,LA UNION,CABA,SANTIAGO SUR, 44 
18436,LA UNION,CABA,SOBREDILLO, 28 
18437,LA UNION,CABA,URAYONG, 26 
18438,LA UNION,CABA,WENCESLAO, 13 
18439,LA UNION,LUNA,ALCALA (POB.), 12 
18440,LA UNION,LUNA,AYAOAN, 18 
18441,LA UNION,LUNA,BARANGOBONG, 14 
18442,LA UNION,LUNA,BARRIENTOS, 34 
18443,LA UNION,LUNA,BUNGRO, 1 
18444,LA UNION,LUNA,BUSELBUSEL, 25 
18445,LA UNION,LUNA,CABALITOCAN, 15 
18446,LA UNION,LUNA,CANTORIA NO. 1, 15 
18447,LA UNION,LUNA,CANTORIA NO. 2, 7 
18448,LA UNION,LUNA,CANTORIA NO. 3, 12 
18449,LA UNION,LUNA,CANTORIA NO. 4, 11 
18450,LA UNION,LUNA,CARISQUIS, 15 
18451,LA UNION,LUNA,DARIGAYOS, 21 
18452,LA UNION,LUNA,MAGALLANES (POB.), 33 
18453,LA UNION,LUNA,MAGSIPING, 7 
18454,LA UNION,LUNA,MAMAY, 3 
18455,LA UNION,LUNA,NAGREBCAN, 20 
18456,LA UNION,LUNA,NALVO NORTE, 20 
18457,LA UNION,LUNA,NALVO SUR, 23 
18458,LA UNION,LUNA,NAPASET, 23 
18459,LA UNION,LUNA,OAQUI NO. 1, 11 
18460,LA UNION,LUNA,OAQUI NO. 2, 8 
18461,LA UNION,LUNA,OAQUI NO. 3, 17 
18462,LA UNION,LUNA,OAQUI NO. 4, 8 
18463,LA UNION,LUNA,PILA, 22 
18464,LA UNION,LUNA,PITPITAC, 11 
18465,LA UNION,LUNA,RIMOS NO. 1, 8 
18466,LA UNION,LUNA,RIMOS NO. 2, 13 
18467,LA UNION,LUNA,RIMOS NO. 3, 13 
18468,LA UNION,LUNA,RIMOS NO. 4, 11 
18469,LA UNION,LUNA,RIMOS NO. 5, 15 
18470,LA UNION,LUNA,RISSING, 7 
18471,LA UNION,LUNA,SALCEDO (POB.), 14 
18472,LA UNION,LUNA,SANTO DOMINGO NORTE, 28 
18473,LA UNION,LUNA,SANTO DOMINGO SUR, 14 
18474,LA UNION,LUNA,SUCOC NORTE, 11 
18475,LA UNION,LUNA,SUCOC SUR, 3 
18476,LA UNION,LUNA,SUYO, 15 
18477,LA UNION,LUNA,TALLAOEN, 15 
18478,LA UNION,LUNA,VICTORIA (POB.), 20 
18479,LA UNION,NAGUILIAN,AGUIOAS, 21 
18480,LA UNION,NAGUILIAN,AL-ALINAO NORTE, 48 
18481,LA UNION,NAGUILIAN,AL-ALINAO SUR, 63 
18482,LA UNION,NAGUILIAN,AMBARACAO NORTE, 55 
18483,LA UNION,NAGUILIAN,AMBARACAO SUR, 33 
18484,LA UNION,NAGUILIAN,ANGIN, 22 
18485,LA UNION,NAGUILIAN,BALECBEC, 34 
18486,LA UNION,NAGUILIAN,BANCAGAN, 42 
18487,LA UNION,NAGUILIAN,BARAOAS NORTE, 34 
18488,LA UNION,NAGUILIAN,BARAOAS SUR, 158 
18489,LA UNION,NAGUILIAN,BARIQUIR, 65 
18490,LA UNION,NAGUILIAN,BATO, 83 
18491,LA UNION,NAGUILIAN,BIMMOTOBOT, 27 
18492,LA UNION,NAGUILIAN,CABARITAN NORTE, 16 
18493,LA UNION,NAGUILIAN,CABARITAN SUR, 98 
18494,LA UNION,NAGUILIAN,CASILAGAN, 69 
18495,LA UNION,NAGUILIAN,DAL-LIPAOEN, 67 
18496,LA UNION,NAGUILIAN,DARAMUANGAN, 39 
18497,LA UNION,NAGUILIAN,GUESSET, 61 
18498,LA UNION,NAGUILIAN,GUSING NORTE, 67 
18499,LA UNION,NAGUILIAN,GUSING SUR, 42 
18500,LA UNION,NAGUILIAN,IMELDA, 63 
18501,LA UNION,NAGUILIAN,LIOAC NORTE, 54 
18502,LA UNION,NAGUILIAN,LIOAC SUR, 58 
18503,LA UNION,NAGUILIAN,MAGUNGUNAY, 33 
18504,LA UNION,NAGUILIAN,MAMAT-ING NORTE, 21 
18505,LA UNION,NAGUILIAN,MAMAT-ING SUR, 47 
18506,LA UNION,NAGUILIAN,NAGSIDORISAN, 57 
18507,LA UNION,NAGUILIAN,NATIVIDAD (POB.), 109 
18508,LA UNION,NAGUILIAN,ORTIZ (POB.), 123 
18509,LA UNION,NAGUILIAN,RIBSUAN, 31 
18510,LA UNION,NAGUILIAN,SAN ANTONIO, 29 
18511,LA UNION,NAGUILIAN,SAN ISIDRO, 31 
18512,LA UNION,NAGUILIAN,SILI, 39 
18513,LA UNION,NAGUILIAN,SUGUIDAN NORTE, 47 
18514,LA UNION,NAGUILIAN,SUGUIDAN SUR, 30 
18515,LA UNION,NAGUILIAN,TUDDINGAN, 47 
18516,LA UNION,PUGO,AMBALITE, 23 
18517,LA UNION,PUGO,AMBANGONAN, 13 
18518,LA UNION,PUGO,CARES, 32 
18519,LA UNION,PUGO,CUENCA, 30 
18520,LA UNION,PUGO,DUPLAS, 12 
18521,LA UNION,PUGO,MAOASOAS NORTE, 21 
18522,LA UNION,PUGO,MAOASOAS SUR, 20 
18523,LA UNION,PUGO,PALINA, 22 
18524,LA UNION,PUGO,POBLACION EAST, 18 
18525,LA UNION,PUGO,POBLACION WEST, 24 
18526,LA UNION,PUGO,SAN LUIS, 22 
18527,LA UNION,PUGO,SAYTAN, 19 
18528,LA UNION,PUGO,TAVORA EAST, 13 
18529,LA UNION,PUGO,TAVORA PROPER, 18 
18530,LA UNION,ROSARIO,ALIPANG, 22 
18531,LA UNION,ROSARIO,AMBANGONAN, 8 
18532,LA UNION,ROSARIO,AMLANG, 56 
18533,LA UNION,ROSARIO,BACANI, 31 
18534,LA UNION,ROSARIO,BANGAR, 16 
18535,LA UNION,ROSARIO,BANI, 43 
18536,LA UNION,ROSARIO,BENTENG-SAPILANG, 32 
18537,LA UNION,ROSARIO,CADUMANIAN, 33 
18538,LA UNION,ROSARIO,CAMP ONE, 74 
18539,LA UNION,ROSARIO,CARUNUAN EAST, 20 
18540,LA UNION,ROSARIO,CARUNUAN WEST, 19 
18541,LA UNION,ROSARIO,CASILAGAN, 15 
18542,LA UNION,ROSARIO,CATAGUINGTINGAN, 52 
18543,LA UNION,ROSARIO,CONCEPCION, 85 
18544,LA UNION,ROSARIO,DAMORTIS, 55 
18545,LA UNION,ROSARIO,GUMOT-NAGCOLARAN, 40 
18546,LA UNION,ROSARIO,INABAAN NORTE, 21 
18547,LA UNION,ROSARIO,INABAAN SUR, 40 
18548,LA UNION,ROSARIO,MARCOS, 21 
18549,LA UNION,ROSARIO,NAGTAGAAN, 61 
18550,LA UNION,ROSARIO,NANGCAMOTIAN, 17 
18551,LA UNION,ROSARIO,PARASAPAS, 33 
18552,LA UNION,ROSARIO,POBLACION EAST, 53 
18553,LA UNION,ROSARIO,POBLACION WEST, 48 
18554,LA UNION,ROSARIO,PUZON, 14 
18555,LA UNION,ROSARIO,RABON, 28 
18556,LA UNION,ROSARIO,SAN JOSE, 10 
18557,LA UNION,ROSARIO,SUBUSUB, 62 
18558,LA UNION,ROSARIO,TABTABUNGAO, 50 
18559,LA UNION,ROSARIO,TANGLAG, 7 
18560,LA UNION,ROSARIO,TAY-AC, 45 
18561,LA UNION,ROSARIO,UDIAO, 72 
18562,LA UNION,ROSARIO,VILA, 18 
18563,LA UNION,SAN FERNANDO CITY (CAPITAL),ABUT, 5 
18564,LA UNION,SAN FERNANDO CITY (CAPITAL),APALENG, 22 
18565,LA UNION,SAN FERNANDO CITY (CAPITAL),BACSIL, 23 
18566,LA UNION,SAN FERNANDO CITY (CAPITAL),BANGBANGOLAN, 11 
18567,LA UNION,SAN FERNANDO CITY (CAPITAL),BANGCUSAY, 50 
18568,LA UNION,SAN FERNANDO CITY (CAPITAL),BARANGAY I (POB.), 93 
18569,LA UNION,SAN FERNANDO CITY (CAPITAL),BARANGAY II (POB.), 28 
18570,LA UNION,SAN FERNANDO CITY (CAPITAL),BARANGAY III (POB.), 24 
18571,LA UNION,SAN FERNANDO CITY (CAPITAL),BARANGAY IV (POB.), 42 
18572,LA UNION,SAN FERNANDO CITY (CAPITAL),BARAOAS, 23 
18573,LA UNION,SAN FERNANDO CITY (CAPITAL),BATO, 33 
18574,LA UNION,SAN FERNANDO CITY (CAPITAL),BIDAY, 181 
18575,LA UNION,SAN FERNANDO CITY (CAPITAL),BIRUNGET, 9 
18576,LA UNION,SAN FERNANDO CITY (CAPITAL),BUNGRO, 43 
18577,LA UNION,SAN FERNANDO CITY (CAPITAL),CABAROAN (NEGRO), 136 
18578,LA UNION,SAN FERNANDO CITY (CAPITAL),CABARSICAN, 11 
18579,LA UNION,SAN FERNANDO CITY (CAPITAL),CADACLAN, 55 
18580,LA UNION,SAN FERNANDO CITY (CAPITAL),CALABUGAO, 13 
18581,LA UNION,SAN FERNANDO CITY (CAPITAL),CAMANSI, 41 
18582,LA UNION,SAN FERNANDO CITY (CAPITAL),CANAOAY, 66 
18583,LA UNION,SAN FERNANDO CITY (CAPITAL),CARLATAN, 114 
18584,LA UNION,SAN FERNANDO CITY (CAPITAL),CATBANGEN, 413 
18585,LA UNION,SAN FERNANDO CITY (CAPITAL),DALLANGAYAN ESTE, 43 
18586,LA UNION,SAN FERNANDO CITY (CAPITAL),DALLANGAYAN OESTE, 88 
18587,LA UNION,SAN FERNANDO CITY (CAPITAL),DALUMPINAS ESTE, 38 
18588,LA UNION,SAN FERNANDO CITY (CAPITAL),DALUMPINAS OESTE, 44 
18589,LA UNION,SAN FERNANDO CITY (CAPITAL),ILOCANOS NORTE, 54 
18590,LA UNION,SAN FERNANDO CITY (CAPITAL),ILOCANOS SUR, 96 
18591,LA UNION,SAN FERNANDO CITY (CAPITAL),LANGCUAS, 52 
18592,LA UNION,SAN FERNANDO CITY (CAPITAL),LINGSAT, 288 
18593,LA UNION,SAN FERNANDO CITY (CAPITAL),MADAYEGDEG, 83 
18594,LA UNION,SAN FERNANDO CITY (CAPITAL),MAMELTAC, 49 
18595,LA UNION,SAN FERNANDO CITY (CAPITAL),MASICONG, 19 
18596,LA UNION,SAN FERNANDO CITY (CAPITAL),NAGYUBUYUBAN, 30 
18597,LA UNION,SAN FERNANDO CITY (CAPITAL),NAMTUTAN, 22 
18598,LA UNION,SAN FERNANDO CITY (CAPITAL),NARRA ESTE, 17 
18599,LA UNION,SAN FERNANDO CITY (CAPITAL),NARRA OESTE, 22 
18600,LA UNION,SAN FERNANDO CITY (CAPITAL),PACPACO, 22 
18601,LA UNION,SAN FERNANDO CITY (CAPITAL),PAGDALAGAN, 103 
18602,LA UNION,SAN FERNANDO CITY (CAPITAL),PAGDARAOAN, 102 
18603,LA UNION,SAN FERNANDO CITY (CAPITAL),PAGUDPUD, 84 
18604,LA UNION,SAN FERNANDO CITY (CAPITAL),PAO NORTE, 13 
18605,LA UNION,SAN FERNANDO CITY (CAPITAL),PAO SUR, 11 
18606,LA UNION,SAN FERNANDO CITY (CAPITAL),PARIAN, 143 
18607,LA UNION,SAN FERNANDO CITY (CAPITAL),PIAS, 42 
18608,LA UNION,SAN FERNANDO CITY (CAPITAL),PORO, 221 
18609,LA UNION,SAN FERNANDO CITY (CAPITAL),PUSPUS, 7 
18610,LA UNION,SAN FERNANDO CITY (CAPITAL),SACYUD, 14 
18611,LA UNION,SAN FERNANDO CITY (CAPITAL),SAGAYAD, 117 
18612,LA UNION,SAN FERNANDO CITY (CAPITAL),SAN AGUSTIN, 68 
18613,LA UNION,SAN FERNANDO CITY (CAPITAL),SAN FRANCISCO, 136 
18614,LA UNION,SAN FERNANDO CITY (CAPITAL),SAN VICENTE, 82 
18615,LA UNION,SAN FERNANDO CITY (CAPITAL),SANTIAGO NORTE, 136 
18616,LA UNION,SAN FERNANDO CITY (CAPITAL),SANTIAGO SUR, 48 
18617,LA UNION,SAN FERNANDO CITY (CAPITAL),SAOAY, 18 
18618,LA UNION,SAN FERNANDO CITY (CAPITAL),SEVILLA, 488 
18619,LA UNION,SAN FERNANDO CITY (CAPITAL),SIBOAN-OTONG, 22 
18620,LA UNION,SAN FERNANDO CITY (CAPITAL),TANQUI, 216 
18621,LA UNION,SAN FERNANDO CITY (CAPITAL),TANQUIGAN, 31 
18622,LA UNION,SAN GABRIEL,AMONTOC, 15 
18623,LA UNION,SAN GABRIEL,APAYAO, 15 
18624,LA UNION,SAN GABRIEL,BALBALAYANG, 14 
18625,LA UNION,SAN GABRIEL,BAYABAS, 1 
18626,LA UNION,SAN GABRIEL,BUCAO, 40 
18627,LA UNION,SAN GABRIEL,BUMBUNEG, 47 
18628,LA UNION,SAN GABRIEL,DAKING, 7 
18629,LA UNION,SAN GABRIEL,LACONG, 19 
18630,LA UNION,SAN GABRIEL,LIPAY ESTE, 5 
18631,LA UNION,SAN GABRIEL,LIPAY NORTE, 11 
18632,LA UNION,SAN GABRIEL,LIPAY PROPER, 7 
18633,LA UNION,SAN GABRIEL,LIPAY SUR, 13 
18634,LA UNION,SAN GABRIEL,LON-OY, 6 
18635,LA UNION,SAN GABRIEL,POBLACION, 58 
18636,LA UNION,SAN GABRIEL,POLIPOL, 6 
18637,LA UNION,SAN JUAN,ALLANGIGAN, 5 
18638,LA UNION,SAN JUAN,ALUDAID, 20 
18639,LA UNION,SAN JUAN,BACSAYAN, 9 
18640,LA UNION,SAN JUAN,BALBALLOSA, 11 
18641,LA UNION,SAN JUAN,BAMBANAY, 16 
18642,LA UNION,SAN JUAN,BUGBUGCAO, 15 
18643,LA UNION,SAN JUAN,CAARUSIPAN, 8 
18644,LA UNION,SAN JUAN,CABAROAN, 44 
18645,LA UNION,SAN JUAN,CABUGNAYAN, 23 
18646,LA UNION,SAN JUAN,CACAPIAN, 33 
18647,LA UNION,SAN JUAN,CACULANGAN, 5 
18648,LA UNION,SAN JUAN,CALINCAMASAN, 42 
18649,LA UNION,SAN JUAN,CASILAGAN, 28 
18650,LA UNION,SAN JUAN,CATDONGAN, 12 
18651,LA UNION,SAN JUAN,DANGDANGLA, 20 
18652,LA UNION,SAN JUAN,DASAY, 11 
18653,LA UNION,SAN JUAN,DINANUM, 22 
18654,LA UNION,SAN JUAN,DUPLAS, 25 
18655,LA UNION,SAN JUAN,GUINGUINABANG, 13 
18656,LA UNION,SAN JUAN,ILI NORTE (POB.), 78 
18657,LA UNION,SAN JUAN,ILI SUR (POB.), 78 
18658,LA UNION,SAN JUAN,LEGLEG, 17 
18659,LA UNION,SAN JUAN,LUBING, 23 
18660,LA UNION,SAN JUAN,NADSAAG, 21 
18661,LA UNION,SAN JUAN,NAGSABARAN, 14 
18662,LA UNION,SAN JUAN,NAGUIRANGAN, 15 
18663,LA UNION,SAN JUAN,NAGUITUBAN, 40 
18664,LA UNION,SAN JUAN,NAGYUBUYUBAN, 13 
18665,LA UNION,SAN JUAN,OAQUING, 11 
18666,LA UNION,SAN JUAN,PACPACAC, 15 
18667,LA UNION,SAN JUAN,PAGDILDILAN, 7 
18668,LA UNION,SAN JUAN,PANICSICAN, 44 
18669,LA UNION,SAN JUAN,QUIDEM, 6 
18670,LA UNION,SAN JUAN,SAN FELIPE, 32 
