code,location,interlevel,original
012807001,ANGSET,Bgy,True
012807003,BARBAQUESO (POB.),Bgy,True
012807003,BARBAQUESO,Bgy,False
012807004,VIRBIRA,Bgy,True
012808000,CURRIMAO,Mun,True
012808001,ANGGAPANG NORTE,Bgy,True
012808002,ANGGAPANG SUR,Bgy,True
012808003,BIMMANGA,Bgy,True
012808004,CABUUSAN,Bgy,True
012808005,COMCOMLOONG,Bgy,True
012808006,GAANG,Bgy,True
012808007,LANG-AYAN-BARAMBAN,Bgy,True
012808008,LIOES,Bgy,True
012808009,MAGLAOI CENTRO,Bgy,True
012808010,MAGLAOI NORTE,Bgy,True
012808011,MAGLAOI SUR,Bgy,True
012808013,PAGULUDAN-SALINDEG,Bgy,True
012808014,PANGIL,Bgy,True
012808015,PIAS NORTE,Bgy,True
012808016,PIAS SUR,Bgy,True
012808017,POBLACION I,Bgy,True
012808017,POBLACION 1,Bgy,False
012808018,POBLACION 2,Bgy,False
012808018,POBLACION II,Bgy,True
012808019,SALUGAN,Bgy,True
012808020,SAN SIMEON,Bgy,True
012808021,SANTA CRUZ,Bgy,True
012808022,TAPAO-TIGUE,Bgy,True
012808023,TORRE,Bgy,True
012808024,VICTORIA,Bgy,True
012809000,DINGRAS,Mun,True
012809001,ALBANO (POB.),Bgy,True
012809001,ALBANO,Bgy,False
012809002,BACSIL,Bgy,True
012809003,BAGUT,Bgy,True
012809004,PARADO (BANGAY),Bgy,True
012809004,BANGAY,Bgy,False
012809004,PARADO,Bgy,False
012809005,BARESBES,Bgy,True
012809006,BARONG,Bgy,True
012809007,BUNGCAG,Bgy,True
012809009,CALI,Bgy,True
012809010,CAPASAN,Bgy,True
012809011,DANCEL,Bgy,False
012809011,DANCEL (POB.),Bgy,True
012809012,FOZ,Bgy,True
012809013,GUERRERO,Bgy,False
012809013,GUERRERO (POB.),Bgy,True
012809014,LANAS,Bgy,True
012809015,LUMBAD,Bgy,True
012809016,MADAMBA (POB.),Bgy,True
012809016,MADAMBA,Bgy,False
012809017,MANDALOQUE,Bgy,True
012809018,MEDINA,Bgy,True
012809019,VER,Bgy,False
012809019,VER (NAGLAYAAN),Bgy,True
012809019,NAGLAYAAN,Bgy,False
012809020,PADONG,Bgy,False
012809020,SAN MARCELINO (PADONG),Bgy,True
012809020,SAN MARCELINO,Bgy,False
012809021,PURUGANAN (POB.),Bgy,True
012809021,PURUGANAN,Bgy,False
012809022,PERALTA,Bgy,False
012809022,PERALTA (POB.),Bgy,True
012809023,BALDIAS,Bgy,False
012809023,ROOT (BALDIAS),Bgy,True
012809023,ROOT,Bgy,False
012809024,SAGPATAN,Bgy,True
012809025,SALUDARES,Bgy,True
012809026,SAN ESTEBAN,Bgy,True
012809027,ESPIRITU,Bgy,True
012809028,SIDIRAN,Bgy,False
012809028,SULQUIANO,Bgy,False
012809028,SULQUIANO (SIDIRAN),Bgy,True
012809029,SURRATE,Bgy,False
012809029,SAN FRANCISCO,Bgy,False
012809029,SAN FRANCISCO (SURRATE),Bgy,True
012809030,SUYO,Bgy,True
012809031,SAN MARCOS,Bgy,True
012809032,ELIZABETH,Bgy,True
012810000,DUMALNEG,Mun,True
012810001,DUMALNEG,Bgy,False
012810001,CABARITAN,Bgy,False
012810001,CABARITAN (DUMALNEG),Bgy,True
012810002,SAN ISIDRO,Bgy,True
012810003,KALAW,Bgy,False
012810003,KALAW (DUMALNEG),Bgy,True
012810003,DUMALNEG,Bgy,False
012810004,QUIBEL (DUMALNEG),Bgy,True
012810004,DUMALNEG,Bgy,False
012810004,QUIBEL,Bgy,False
012811000,BANNA (ESPIRITU),Mun,True
012811000,ESPIRITU,Mun,False
012811000,BANNA,Mun,False
012811001,BALIOEG,Bgy,True
012811002,BANGSAR,Bgy,True
012811003,BARBARANGAY,Bgy,True
012811004,BOMITOG,Bgy,True
012811005,BUGASI,Bgy,True
012811006,CAESTEBANAN,Bgy,True
